date,day,month,max_temp,min_temp,precipitation,Brooklyn,Manhattan,Williamsburg,Queensboro
09/05/2017,Tuesday,May,61,48,0,2718,6455,6910,5000
10/05/2017,Wednesday,May,70,51.1,0,2810,6396,7075,4980
11/05/2017,Thursday,May,61,51.8,0,2657,6179,6750,5139
12/05/2017,Friday,May,62.1,51.1,0,2640,5367,6325,4692
13/05/2017,Saturday,May,51.1,45,1.31,151,484,874,865
14/05/2017,Sunday,May,64.9,46,0.02,1452,2704,3320,2389
15/05/2017,Monday,May,66.9,55.9,0,2685,5865,5981,4550
16/05/2017,Tuesday,May,78.1,57.9,0,3666,7847,8420,6209
17/05/2017,Wednesday,May,90,66,0,3535,7888,8540,6121
18/05/2017,Thursday,May,91.9,75,0,3190,6886,7645,5753
19/05/2017,Friday,May,90,75.9,0,2952,6432,6859,5272
20/05/2017,Saturday,May,64,55.9,0.01,2161,3896,5198,3910
21/05/2017,Sunday,May,66.9,55,0,2612,4656,5634,3782
22/05/2017,Monday,May,61,54,0.59,768,1633,2116,1609
23/05/2017,Tuesday,May,68,57.9,0,3174,6715,7011,4899
24/05/2017,Wednesday,May,66.9,57,0.04,2969,6005,6872,4344
25/05/2017,Thursday,May,57.9,55.9,0.58,488,1196,1789,1316
26/05/2017,Friday,May,73,55.9,0.1,2590,4563,5344,3642
27/05/2017,Saturday,May,71.1,61,0,2609,4013,6105,3703
28/05/2017,Sunday,May,71.1,59,0,2640,4048,5456,3549
29/05/2017,Monday,May,57.9,55.9,0.13,836,1730,2738,1704
30/05/2017,Tuesday,May,59,55.9,0.06,2301,5366,5938,4431
31/05/2017,Wednesday,May,75,57.9,0.03,2689,5717,6523,4575
01/06/2017,Thursday,June,78.1,62.1,0,3468,7328,8461,6184
02/06/2017,Friday,June,73.9,60.1,0.01,3271,7007,7968,5293
03/06/2017,Saturday,June,72,55,0.01,2589,4510,6210,4084
04/06/2017,Sunday,June,68,60.1,0.09,1805,3127,4023,3023
05/06/2017,Monday,June,66.9,60.1,0.02,2171,4552,5276,3359
06/06/2017,Tuesday,June,55.9,53.1,0.06,1193,3021,3807,2572
07/06/2017,Wednesday,June,66.9,54,0,3211,7180,7632,5072
08/06/2017,Thursday,June,68,59,0,3253,7083,7778,5288
09/06/2017,Friday,June,80.1,59,0,3401,6859,7744,5155
10/06/2017,Saturday,June,84,68,0,3066,5193,6391,4425
11/06/2017,Sunday,June,90,73,0,2465,4388,5153,3178
12/06/2017,Monday,June,91.9,77,0,2854,6265,7049,5032
13/06/2017,Tuesday,June,93.9,78.1,0,2882,6141,7155,5399
14/06/2017,Wednesday,June,84,69.1,0.29,2596,5630,6619,5152
15/06/2017,Thursday,June,75,66,0,3510,7854,8652,6344
16/06/2017,Friday,June,68,66,0,2054,4857,5783,4474
17/06/2017,Saturday,June,73,66.9,1.39,1399,2633,3439,2977
18/06/2017,Sunday,June,84,72,0,2199,4014,4901,3396
19/06/2017,Monday,June,87.1,70,1.35,1648,3553,4334,3552
20/06/2017,Tuesday,June,82,72,0.03,3407,7473,7975,6091
21/06/2017,Wednesday,June,82,72,0,3304,7416,8754,6159
22/06/2017,Thursday,June,82,70,0,3368,7624,8307,6289
23/06/2017,Friday,June,82.9,75.9,0.04,2283,4683,5611,4330
24/06/2017,Saturday,June,82.9,71.1,1.29,2307,3933,5214,3396
25/06/2017,Sunday,June,82,69.1,0,2625,4882,5727,4197
26/06/2017,Monday,June,78.1,66,0,3386,7217,7974,5845
27/06/2017,Tuesday,June,75.9,61,0.18,3182,7317,6501,5580
28/06/2017,Wednesday,June,78.1,62.1,0,3766,8239,8873,5834
29/06/2017,Thursday,June,81,68,0,3356,7544,8276,5662
30/06/2017,Friday,June,88,73.9,0,2687,5890,7013,4754
