trip_id,trip_duration_minutes,started_at,ended_at,start_station_name,end_station_name,rider_type,bike_id
100177,19.6,2025-06-02 16:07:51,2025-06-02 16:27:27,Riverdale Park,Harbourfront Centre,Annual Member,5097
100178,26.3,2025-06-02 16:03:37,2025-06-02 16:29:55,Union Station,Kensington Market,Casual,5098
100179,13.3,2025-06-02 16:41:01,2025-06-02 16:54:19,Harbourfront Centre,Bloor-Yonge,Annual Member,5099
100180,20.5,2025-06-02 16:56:04,2025-06-02 17:16:34,Kensington Market,High Park,Casual,5100
100181,23.4,2025-06-02 16:42:32,2025-06-02 17:05:56,Bloor-Yonge,Riverdale Park,Annual Member,5101
100182,38.3,2025-06-02 16:11:43,2025-06-02 16:50:01,High Park,Union Station,Casual,5102
100183,9.6,2025-06-02 17:51:11,2025-06-02 18:00:47,Union Station,Kensington Market,Annual Member,5103
100184,30.2,2025-06-02 17:31:50,2025-06-02 18:02:02,Harbourfront Centre,Bloor-Yonge,Casual,5104
100185,4.9,2025-06-02 17:57:34,2025-06-02 18:02:28,Kensington Market,High Park,Annual Member,5105
100186,38.8,2025-06-02 17:11:00,2025-06-02 17:49:48,Bloor-Yonge,Riverdale Park,Casual,5106
100187,31.4,2025-06-02 17:13:54,2025-06-02 17:45:18,High Park,Union Station,Annual Member,5107
100188,22.2,2025-06-02 17:36:14,2025-06-02 17:58:26,Riverdale Park,Harbourfront Centre,Casual,5108
100189,13.4,2025-06-02 17:29:44,2025-06-02 17:43:08,Union Station,Kensington Market,Annual Member,5109
100190,36.5,2025-06-02 17:36:55,2025-06-02 18:13:25,Harbourfront Centre,Bloor-Yonge,Casual,5110
100191,11.7,2025-06-02 17:11:51,2025-06-02 17:23:33,Kensington Market,High Park,Annual Member,5111
100192,13.6,2025-06-02 18:27:08,2025-06-02 18:40:44,Harbourfront Centre,Bloor-Yonge,Annual Member,5112
100193,44.0,2025-06-02 18:11:55,2025-06-02 18:55:55,Kensington Market,High Park,Casual,5113
100194,11.0,2025-06-02 18:27:02,2025-06-02 18:38:02,Bloor-Yonge,Riverdale Park,Annual Member,5114
100195,34.1,2025-06-02 18:55:38,2025-06-02 19:29:44,High Park,Union Station,Casual,5115
100196,16.0,2025-06-02 18:34:27,2025-06-02 18:50:27,Riverdale Park,Harbourfront Centre,Annual Member,5116
100197,31.5,2025-06-02 18:33:38,2025-06-02 19:05:08,Union Station,Kensington Market,Casual,5117
100198,12.1,2025-06-02 18:53:16,2025-06-02 19:05:22,Harbourfront Centre,Bloor-Yonge,Annual Member,5118
100199,27.1,2025-06-02 18:00:13,2025-06-02 18:27:19,Kensington Market,High Park,Casual,5119
100200,21.6,2025-06-02 18:43:26,2025-06-02 19:05:02,Bloor-Yonge,Riverdale Park,Annual Member,5120
100201,22.8,2025-06-02 19:32:50,2025-06-02 19:55:38,Kensington Market,High Park,Annual Member,5121
100202,38.4,2025-06-02 19:22:47,2025-06-02 20:01:11,Bloor-Yonge,Riverdale Park,Casual,5122
100203,23.3,2025-06-02 19:05:08,2025-06-02 19:28:26,High Park,Union Station,Annual Member,5123
100204,40.0,2025-06-02 19:27:47,2025-06-02 20:07:47,Riverdale Park,Harbourfront Centre,Casual,5124
100205,19.7,2025-06-02 19:51:05,2025-06-02 20:10:47,Union Station,Kensington Market,Annual Member,5125
100206,22.4,2025-06-02 19:10:31,2025-06-02 19:32:55,Harbourfront Centre,Bloor-Yonge,Casual,5126
100207,32.9,2025-06-02 20:30:29,2025-06-02 21:03:23,Bloor-Yonge,Riverdale Park,Annual Member,5127
100208,26.9,2025-06-02 20:17:08,2025-06-02 20:44:02,High Park,Union Station,Casual,5128
100209,14.5,2025-06-02 21:04:35,2025-06-02 21:19:05,High Park,Union Station,Annual Member,5129
100210,28.6,2025-06-02 21:21:19,2025-06-02 21:49:55,Riverdale Park,Harbourfront Centre,Casual,5130
100211,10.2,2025-06-02 22:34:06,2025-06-02 22:44:18,Riverdale Park,Harbourfront Centre,Annual Member,5131
100212,20.6,2025-06-02 22:54:04,2025-06-02 23:14:40,Union Station,Kensington Market,Casual,5132
100213,20.4,2025-06-02 23:58:00,2025-06-03 00:18:24,Union Station,Kensington Market,Annual Member,5133
100214,29.2,2025-06-02 23:15:08,2025-06-02 23:44:20,Harbourfront Centre,Bloor-Yonge,Casual,5134
100215,14.1,2025-06-03 00:44:13,2025-06-03 00:58:19,Kensington Market,High Park,Annual Member,5135
100216,28.0,2025-06-03 00:28:17,2025-06-03 00:56:17,Bloor-Yonge,Riverdale Park,Casual,5136
100217,14.8,2025-06-03 01:13:09,2025-06-03 01:27:57,Bloor-Yonge,Riverdale Park,Annual Member,5137
100218,23.2,2025-06-03 01:45:24,2025-06-03 02:08:36,High Park,Union Station,Casual,5138
100219,10.4,2025-06-03 02:31:09,2025-06-03 02:41:33,High Park,Union Station,Annual Member,5139
100220,27.5,2025-06-03 02:32:51,2025-06-03 03:00:21,Riverdale Park,Harbourfront Centre,Casual,5140
100221,12.7,2025-06-03 03:29:56,2025-06-03 03:42:38,Riverdale Park,Harbourfront Centre,Annual Member,5141
100222,33.9,2025-06-03 03:52:09,2025-06-03 04:26:03,Union Station,Kensington Market,Casual,5142
100223,20.6,2025-06-03 04:52:36,2025-06-03 05:13:12,Union Station,Kensington Market,Annual Member,5143
100224,52.2,2025-06-03 04:02:19,2025-06-03 04:54:31,Harbourfront Centre,Bloor-Yonge,Casual,5144
100225,29.0,2025-06-03 05:50:07,2025-06-03 06:19:07,Harbourfront Centre,Bloor-Yonge,Annual Member,5145
100226,45.1,2025-06-03 05:14:33,2025-06-03 05:59:39,Kensington Market,High Park,Casual,5146
100227,18.6,2025-06-03 06:32:07,2025-06-03 06:50:43,Kensington Market,High Park,Annual Member,5147
100228,26.2,2025-06-03 06:50:14,2025-06-03 07:16:26,Bloor-Yonge,Riverdale Park,Casual,5148
100229,10.6,2025-06-03 07:04:07,2025-06-03 07:14:43,Bloor-Yonge,Riverdale Park,Annual Member,5149
100230,23.3,2025-06-03 07:30:03,2025-06-03 07:53:21,High Park,Union Station,Casual,5150
100231,14.9,2025-06-03 07:25:42,2025-06-03 07:40:36,Riverdale Park,Harbourfront Centre,Annual Member,5151
100232,40.5,2025-06-03 07:13:16,2025-06-03 07:53:46,Union Station,Kensington Market,Casual,5152
100233,24.8,2025-06-03 07:38:24,2025-06-03 08:03:12,Harbourfront Centre,Bloor-Yonge,Annual Member,5153
100234,34.6,2025-06-03 07:39:25,2025-06-03 08:14:01,Kensington Market,High Park,Casual,5154
100235,26.8,2025-06-03 08:23:04,2025-06-03 08:49:52,High Park,Union Station,Annual Member,5155
100236,30.1,2025-06-03 08:22:58,2025-06-03 08:53:04,Riverdale Park,Harbourfront Centre,Casual,5156
100237,15.8,2025-06-03 08:31:07,2025-06-03 08:46:55,Union Station,Kensington Market,Annual Member,5157
100238,46.4,2025-06-03 08:44:16,2025-06-03 09:30:40,Harbourfront Centre,Bloor-Yonge,Casual,5158
100239,15.9,2025-06-03 08:33:33,2025-06-03 08:49:27,Kensington Market,High Park,Annual Member,5159
100240,90.2,2025-06-03 08:23:23,2025-06-03 09:53:35,Bloor-Yonge,Riverdale Park,Casual,5160
100241,7.6,2025-06-03 08:43:26,2025-06-03 08:51:02,High Park,Union Station,Annual Member,5161
100242,44.7,2025-06-03 08:03:30,2025-06-03 08:48:12,Riverdale Park,Harbourfront Centre,Casual,5162
100243,12.7,2025-06-03 08:52:43,2025-06-03 09:05:25,Union Station,Kensington Market,Annual Member,5163
100244,16.1,2025-06-03 09:18:46,2025-06-03 09:34:52,Riverdale Park,Harbourfront Centre,Annual Member,5164
100245,24.4,2025-06-03 09:41:58,2025-06-03 10:06:22,Union Station,Kensington Market,Casual,5165
100246,21.1,2025-06-03 09:57:57,2025-06-03 10:19:03,Harbourfront Centre,Bloor-Yonge,Annual Member,5166
100247,23.3,2025-06-03 09:25:05,2025-06-03 09:48:23,Kensington Market,High Park,Casual,5167
100248,12.2,2025-06-03 09:34:21,2025-06-03 09:46:33,Bloor-Yonge,Riverdale Park,Annual Member,5168
